Id,SalePrice
1461,119191.23
1462,153201.17
1463,193193.61
1464,201729.11
1465,168924.31
1466,178889.38
1467,176494.78
1468,176471.42
1469,177769.3
1470,119937.04
1471,205963.28
1472,98437.22
1473,100514.14
1474,147601.6
1475,114759.25
1476,372112.53
1477,246145.36
1478,283488.47
1479,235567.4
1480,501504.0
1481,286851.25
1482,211107.34
1483,154770.34
1484,177181.97
1485,186090.34
1486,197313.95
1487,335971.3
1488,212789.52
1489,201532.86
1490,196979.78
1491,196292.19
1492,77206.945
1493,181146.5
1494,256016.8
1495,254052.89
1496,218950.7
1497,188370.9
1498,163389.95
1499,160866.19
1500,164975.36
1501,184502.69
1502,140798.31
1503,281168.5
1504,261360.92
1505,225293.22
1506,190224.78
1507,260659.16
1508,193289.16
1509,162833.64
1510,136668.34
1511,132299.89
1512,162860.67
1513,131593.34
1514,173670.42
1515,222087.73
1516,146284.84
1517,159716.62
1518,124005.26
1519,238629.3
1520,136900.28
1521,127097.234
1522,169048.5
1523,95693.57
1524,113777.555
1525,111580.79
1526,115055.914
1527,91701.195
1528,128648.39
1529,145982.67
1530,181016.84
1531,88415.75
1532,85415.13
1533,145867.1
1534,121854.93
1535,144784.42
1536,81023.07
1537,48822.234
1538,157485.7
1539,208443.83
1540,84750.38
1541,139481.5
1542,137692.02
1543,229017.86
1544,75503.86
1545,118700.36
1546,132331.12
1547,130192.97
1548,123857.72
1549,118643.266
1550,145132.5
1551,105576.03
1552,126315.95
1553,168984.28
1554,111290.11
1555,165625.83
1556,83259.81
1557,91476.64
1558,93931.82
1559,65609.15
1560,123181.195
1561,126075.38
1562,127568.21
1563,116259.87
1564,158661.48
1565,131210.44
1566,250835.31
1567,38732.117
1568,202855.67
1569,144182.06
1570,138764.92
1571,123974.62
1572,147265.17
1573,270283.88
1574,101059.945
1575,237284.22
1576,257831.88
1577,197932.05
1578,132122.88
1579,139617.92
1580,203822.03
1581,157228.9
1582,128687.16
1583,304406.03
1584,218792.5
1585,140142.06
1586,62491.03
1587,99038.29
1588,148818.25
1589,82210.875
1590,127450.31
1591,82040.57
1592,114599.914
1593,133572.11
1594,177123.64
1595,131630.78
1596,236027.92
1597,175152.23
1598,209119.28
1599,194716.12
1600,165767.11
1601,63376.39
1602,108239.695
1603,66542.37
1604,269170.06
1605,240502.7
1606,164119.47
1607,130043.91
1608,197666.72
1609,192375.14
1610,155804.53
1611,141478.31
1612,142386.84
1613,158723.81
1614,123158.59
1615,81218.58
1616,59633.105
1617,88424.07
1618,126872.94
1619,140475.98
1620,156178.28
1621,137426.05
1622,126746.92
1623,287344.88
1624,207262.19
1625,127620.586
1626,160623.14
1627,194177.4
1628,267921.44
1629,170370.53
1630,452863.34
1631,220191.52
1632,221983.23
1633,160311.75
1634,190163.23
1635,183119.72
1636,153521.69
1637,183932.5
1638,190511.83
1639,174206.66
1640,239198.08
1641,182301.45
1642,232210.5
1643,229838.45
1644,243945.0
1645,202147.44
1646,161743.45
1647,151410.98
1648,127286.945
1649,142146.2
1650,115049.86
1651,114518.58
1652,96684.16
1653,100660.41
1654,153776.31
1655,158276.19
1656,144320.9
1657,155696.14
1658,138433.56
1659,124277.836
1660,149769.56
1661,405178.2
1662,345420.94
1663,395697.34
1664,426353.0
1665,313374.12
1666,324066.8
1667,377323.1
1668,340860.5
1669,279696.66
1670,340263.12
1671,257480.17
1672,513813.12
1673,303964.22
1674,244214.66
1675,176195.17
1676,182754.55
1677,225880.08
1678,482364.16
1679,384449.94
1680,362114.12
1681,281665.3
1682,277536.8
1683,167915.77
1684,160413.97
1685,173655.34
1686,169369.97
1687,151736.61
1688,192145.92
1689,197186.33
1690,195046.17
1691,187893.11
1692,255648.78
1693,154710.17
1694,186609.16
1695,150840.02
1696,265475.0
1697,163623.92
1698,359613.97
1699,368592.56
1700,245846.72
1701,256834.7
1702,246419.44
1703,256216.67
1704,284952.8
1705,242300.03
1706,478790.25
1707,202066.86
1708,224926.44
1709,272377.44
1710,230670.77
1711,247302.73
1712,236597.06
1713,260994.48
1714,218876.23
1715,212653.56
1716,192633.78
1717,183819.42
1718,138044.84
1719,188682.69
1720,234127.97
1721,177418.75
1722,123148.05
1723,149574.19
1724,192591.16
1725,233599.23
1726,193589.27
1727,154966.39
1728,180572.44
1729,162071.83
1730,159118.36
1731,120187.73
1732,132586.05
1733,115414.45
1734,113157.984
1735,126772.66
1736,120457.68
1737,389717.38
1738,240588.28
1739,214678.14
1740,208872.83
1741,193592.45
1742,171574.2
1743,168965.83
1744,323533.0
1745,238142.94
1746,228555.48
1747,200978.64
1748,208626.72
1749,138136.48
1750,130985.04
1751,241302.95
1752,126507.97
1753,138183.78
1754,186752.34
1755,167233.6
1756,131845.31
1757,119499.07
